x_back,y_back
1056.0,3380.0
1001.0,3283.0
947.0,3188.0
891.0,3093.0
836.0,2998.0
780.0,2904.0
724.0,2810.0
667.0,2716.0
610.0,2623.0
553.0,2531.0
495.0,2438.0
437.0,2347.0
379.0,2255.0
320.0,2164.0
261.0,2074.0
3891.0,1983.0
202.0,1983.0
3831.0,1894.0
3771.0,1804.0
3711.0,1715.0
3651.0,1627.0
3590.0,1539.0
3529.0,1451.0
3468.0,1364.0
3406.0,1278.0
3344.0,1192.0
3282.0,1106.0
3220.0,1021.0
3157.0,936.0
3094.0,851.0
3031.0,1167.0
2968.0,1084.0
2905.0,1000.0
2841.0,917.0
3177.0,835.0
3112.0,753.0
3048.0,671.0
2983.0,590.0
2918.0,509.0
2853.0,429.0
2788.0,349.0
2722.0,269.0
2656.0,3871.0
2591.0,3791.0
2526.0,3712.0
2460.0,3633.0
2394.0,3555.0
2328.0,3477.0
2262.0,3399.0
2196.0,3322.0
2130.0,3246.0
2063.0,3169.0
1997.0,3094.0
1930.0,3018.0
1863.0,2943.0
1796.0,2868.0
1728.0,2794.0
1661.0,2721.0
1593.0,2647.0
1525.0,2574.0
1458.0,2501.0
1390.0,2429.0
1321.0,2357.0
1253.0,2286.0
1184.0,2215.0
1116.0,2144.0
1047.0,2073.0
259.0,3882.0
978.0,2003.0
241.0,3802.0
909.0,1934.0
222.0,3722.0
840.0,1864.0
3892.0,3642.0
203.0,3642.0
770.0,1795.0
3872.0,3562.0
701.0,1727.0
3852.0,3482.0
631.0,1658.0
3831.0,3403.0
561.0,1590.0
2275.0,3237.0
491.0,1523.0
2184.0,3187.0
421.0,1456.0
2094.0,3138.0
350.0,1389.0
2003.0,3089.0
280.0,1322.0
3890.0,1322.0
1913.0,3040.0
209.0,1256.0
3819.0,1256.0
1822.0,2992.0
3748.0,1190.0
1731.0,2945.0
3678.0,1125.0
1640.0,2898.0
3607.0,1060.0
1549.0,2852.0
3536.0,996.0
1457.0,2807.0
3465.0,931.0
1366.0,2761.0
3393.0,868.0
1274.0,2717.0
3322.0,804.0
1182.0,2673.0
3251.0,1141.0
1090.0,2629.0
3179.0,1079.0
998.0,2586.0
3108.0,1016.0
906.0,2544.0
3036.0,954.0
814.0,2502.0
2964.0,893.0
721.0,2460.0
2892.0,832.0
628.0,2419.0
2311.0,2505.0
536.0,2379.0
2275.0,2514.0
443.0,2339.0
2239.0,2523.0
349.0,2300.0
2204.0,2533.0
2454.0,1282.0
256.0,2261.0
2932.0,531.0
2472.0,1301.0
3814.0,2222.0
2860.0,471.0
2490.0,1320.0
3722.0,2181.0
2787.0,413.0
2508.0,1339.0
3629.0,2142.0
2714.0,354.0
2527.0,1358.0
3537.0,2102.0
2642.0,296.0
2546.0,1377.0
3444.0,2063.0
2569.0,238.0
2569.0,3864.0
3351.0,2025.0
527.0,1251.0
3259.0,1987.0
488.0,1267.0
3166.0,1950.0
449.0,1283.0
2623.0,1453.0
3073.0,1913.0
411.0,1299.0
2980.0,1877.0
372.0,1316.0
2887.0,1841.0
333.0,1332.0
3193.0,1806.0
295.0,1349.0
3100.0,1772.0
256.0,1366.0
3007.0,1738.0
217.0,1383.0
2913.0,1704.0
2868.0,631.0
1185.0,1590.0
2827.0,652.0
3821.0,1062.0
1156.0,1559.0
3790.0,1436.0
3732.0,970.0
1127.0,1528.0
3752.0,1454.0
3643.0,878.0
1097.0,1497.0
713.0,689.0
3553.0,1188.0
1067.0,1466.0
668.0,705.0
3463.0,1097.0
1037.0,1435.0
623.0,720.0
3373.0,1008.0
1007.0,1404.0
578.0,737.0
3283.0,918.0
976.0,1373.0
