x,xerr,y,yerr
0.377734482,0.077148512,3.45281196,0.113649637
0.532031476,0.0771484822,5.77331257,0.146642283
0.68632853,0.0771485269,6.79760599,0.15964219
0.840625048,0.0771479905,6.77902937,0.158990189
0.994921505,0.0771484971,6.36554146,0.154429838
1.14921999,0.0771499872,5.34114122,0.141143903
1.30351496,0.07714504,4.46986055,0.129141241
1.45781004,0.0771499872,3.64270282,0.116718754
1.61211002,0.0771499872,2.32045388,0.0929670259
1.76640499,0.0771449804,1.86244345,0.0832910016
1.92069995,0.0771499872,1.9889605,0.0862317681
2.07499981,0.0771499872,1.25520539,0.0685779899
2.22930002,0.0771499872,1.29990113,0.0699797273
2.38359499,0.0771450996,1.36330652,0.0712611675
2.53788996,0.0771499872,1.34087229,0.0706701726
2.69219017,0.0771499872,1.03172672,0.0622138381
2.84648514,0.0771449804,1.10629141,0.0648387149
3.00078011,0.0771499872,0.890190184,0.0580614693
3.15507984,0.0771499872,0.834320486,0.0557453819
3.30937481,0.0771449804,0.838099539,0.0563677661
3.46366978,0.0771499872,0.741204381,0.0528059565
3.61796999,0.0771501064,0.622014761,0.0487059802
3.77226496,0.0771449804,0.573632598,0.0474100709
3.92655993,0.077149868,0.569871604,0.0466697402
4.08086014,0.0771501064,0.465579927,0.0423037708
4.23515511,0.0771450996,0.387387633,0.0379864834
4.38945007,0.077149868,0.335218579,0.0357255973
4.54760504,0.0810050964,0.305075169,0.0328971036
4.70576,0.077149868,0.294247419,0.0331054218
4.86005974,0.0771501064,0.249550834,0.0313843675
5.02206993,0.084859848,0.169312298,0.023944376
5.2110796,0.104150057,0.124157727,0.0189151671
5.40781021,0.09258008,0.121050842,0.0193836484
5.63154507,0.131155014,0.078874819,0.0135060279
5.8861351,0.12343502,0.0651839077,0.0127509627
6.11371994,0.104150057,0.0910490006,0.0163228232
6.37987995,0.162009954,0.0638530403,0.0106421728
6.69618988,0.154299974,0.0540073551,0.010368973
7.06650496,0.216014862,0.0305960216,0.00691224309
7.6104002,0.327880144,0.0157753192,0.00391940959
