CMOS Num, Observation ID, X, Y, RA, Dec
40, 05001413001, 1562.0,  675.0, 121.8, 4.4815
40, 05001415001,  560.0, 3897.0, 121.8, 4.4815
 3, 05001416001, 1833.0, 3839.0, 121.8, 4.4815
20, 05001421001, 3768.0,  481.0, 121.8, 4.4815
42, 05001422001, 1614.0, 2301.0, 121.8, 4.4815
37, 05001423001, 1508.0, 1294.0, 121.8, 4.4815
19, 05001424001,  729.0, 3025.0, 121.8, 4.4815
 5, 05001425001, 2776.0, 1037.0, 121.8, 4.4815
31, 05001426001,  436.0,   74.0, 121.8, 4.4815
32, 05001427001, 1109.0, 2920.0, 121.8, 4.4815
29, 05001428001, 2406.0,  159.0, 121.8, 4.4815
25, 05001429001,   43.0, 1425.0, 121.8, 4.4815
40, 05001431001, 1769.0,  718.0, 121.8, 4.4815
40, 05001433001, 1355.0,  284.0, 121.8, 4.4815
 5, 05001434001, 2734.0, 1079.0, 121.8, 4.4815
20, 05001439001, 3123.0, 1110.0, 121.8, 4.4815
44, 05001440001,  795.0, 1733.0, 121.8, 4.4815
28, 05001441001, 2269.0, 3698.0, 121.8, 4.4815
19, 05001442001,  657.0, 3019.0, 121.8, 4.4815
 5, 05001443001, 2692.0, 1122.0, 121.8, 4.4815
31, 05001444001,  384.0,   94.0, 121.8, 4.4815
32, 05001445001,  981.0, 2945.0, 121.8, 4.4815
29, 05001446001, 2277.0,  209.0, 121.8, 4.4815
40, 05001449001, 1975.0,  762.0, 121.8, 4.4815
40, 05001451001,  338.0,  428.0, 121.8, 4.4815
 1, 05001452001, 1968.0,   59.0, 121.8, 4.4815
20, 05001457001, 3138.0, 1121.0, 121.8, 4.4815
44, 05001458001, 1065.0, 1808.0, 121.8, 4.4815
26, 05001459001,  587.0, 2644.0, 121.8, 4.4815
19, 05001460001,  585.0, 3014.0, 121.8, 4.4815
 7, 05001461001, 1765.0, 3544.0, 121.8, 4.4815
31, 05001462001,  330.0,  115.0, 121.8, 4.4815
32, 05001463001, 1244.0, 3770.0, 121.8, 4.4815
31, 05001464001, 1824.0,  153.0, 121.8, 4.4815
 7, 05001470001, 1716.0, 3589.0, 121.8, 4.4815
20, 05001475001, 3152.0, 1132.0, 121.8, 4.4815
44, 05001476001, 1333.0, 1887.0, 121.8, 4.4815
